date,price_65_m1,raw_price_65_m1,contract_month_65_m1,price_62_m1,raw_price_62_m1,contract_month_62_m1
2022-03-30,146.7055674614379,182.82,2022-04,109.5276022630352,159.2,2022-04
2022-03-31,145.90310838988427,181.82,2022-04,108.97721230191443,158.4,2022-04
2022-04-01,147.1416746750276,184.14,2022-05,109.55724129663346,160.55,2022-05
2022-04-04,149.03548247876287,186.51,2022-05,111.6044024544653,163.55,2022-05
2022-04-05,148.84370447332134,186.27,2022-05,111.26320892816,163.05,2022-05
2022-04-06,147.48527693477703,184.57,2022-05,110.10315093872195,161.35,2022-05
2022-04-07,143.9373838341084,180.13,2022-05,106.55473826514678,156.15,2022-05
2022-04-08,142.8106880521393,178.72,2022-05,105.36056092307821,154.4,2022-05
2022-04-11,139.99794397232995,175.2,2022-05,103.31339976524639,151.4,2022-05
2022-04-12,142.74676205032546,178.64,2022-05,105.80411250727511,155.05,2022-05
2022-04-13,139.2707857016974,174.29,2022-05,103.51811588102956,151.7,2022-05
2022-04-14,141.38034376155446,176.93,2022-05,105.53115768623087,154.65,2022-05
2022-04-18,141.7559090222108,177.4,2022-05,105.53115768623087,154.65,2022-05
2022-04-19,139.550461959633,174.64,2022-05,102.76749012315788,150.6,2022-05
2022-04-20,139.74223996507456,174.88,2022-05,102.97220623894108,150.9,2022-05
2022-04-21,139.15092444829642,174.14,2022-05,103.3475191178769,151.45,2022-05
2022-04-22,138.67947018491932,173.55,2022-05,102.28981918633046,149.9,2022-05
2022-04-25,126.9890026032116,158.92,2022-05,92.80463915504298,136.0,2022-05
2022-04-26,129.58599642689924,162.17,2022-05,95.15887448654958,139.45,2022-05
2022-04-27,131.5277487319949,164.6,2022-05,96.31893247598762,141.15,2022-05
2022-04-28,132.74234276645805,166.12,2022-05,97.03543888122876,142.2,2022-05
2022-04-29,136.41009712052767,170.71,2022-05,99.83322579693227,146.3,2022-05
2022-05-03,133.84964869561162,166.76,2022-06,97.92449904902236,143.65,2022-06
2022-05-04,133.52858933198578,166.36,2022-06,97.37914854961952,142.85,2022-06
2022-05-05,135.23020395920273,168.48,2022-06,98.74252479812661,144.85,2022-06
2022-05-06,128.94546691622696,160.65,2022-06,94.00479233456446,137.9,2022-06
2022-05-09,121.46478374374496,151.33,2022-06,87.08565787339093,127.75,2022-06
2022-05-10,118.33445494839303,147.43,2022-06,86.30171653049933,126.6,2022-06
2022-05-11,122.25137918462825,152.31,2022-06,89.98283240146851,132.0,2022-06
2022-05-12,117.25087959615584,146.08,2022-06,85.48369078139508,125.4,2022-06
2022-05-13,118.49498463020595,147.63,2022-06,86.71072940505147,127.2,2022-06
2022-05-16,120.89490337330909,150.62,2022-06,88.44903412189802,129.75,2022-06
2022-05-17,119.4822421733554,148.86,2022-06,87.63100837279377,128.55,2022-06
2022-05-18,117.81273348250105,146.78,2022-06,85.21101553169366,125.0,2022-06
2022-05-19,119.40197733244894,148.76,2022-06,86.57439178020076,127.0,2022-06
2022-05-20,125.50210524133986,156.36,2022-06,91.3802930561883,134.05,2022-06
