Date,IOCJ Inventory,
12/8/2025,1562.63 ,
5/8/2025,1562.61 ,
29/7/2025,1578.53 ,
22/7/2025,1588.87 ,
15/7/2025,1627.59 ,
8/7/2025,1641.76 ,
1/7/2025,1648.08 ,
24/6/2025,1658.93 ,
17/6/2025,1657.68 ,
10/6/2025,1691.15 ,
3/6/2025,1686.57 ,
27/5/2025,1683.30 ,
20/5/2025,1726.16 ,
13/5/2025,1752.60 ,
6/5/2025,1798.02 ,
29/4/2025,1810.16 ,
22/4/2025,1831.77 ,
15/4/2025,1811.89 ,
8/4/2025,1851.10 ,
1/4/2025,1857.91 ,
25/3/2025,1858.38 ,
18/3/2025,1878.74 ,
11/3/2025,1877.15 ,
4/3/2025,1866.07 ,
25/2/2025,1860.75 ,
18/2/2025,1857.90 ,
11/2/2025,1825.91 ,
28/1/2025,1601.02 ,
21/1/2025,1594.12 ,
14/1/2025,1544.60 ,
7/1/2025,1449.89 ,
31/12/2024,1410.71 ,
24/12/2024,1454.88 ,
17/12/2024,1487.71 ,
10/12/2024,1542.08 ,
3/12/2024,1502.97 ,
26/11/2024,1477.19 ,
19/11/2024,1369.72 ,
12/11/2024,1248.56 ,
5/11/2024,1228.45 ,
29/10/2024,1250.48 ,
22/10/2024,1130.43 ,
15/10/2024,1073.66 ,
8/10/2024,1068.47 ,
24/9/2024,1106.94 ,
17/9/2024,1160.74 ,
10/9/2024,1156.87 ,
3/9/2024,1096.96 ,
27/8/2024,1003.28 ,
20/8/2024,968.24 ,
13/8/2024,894.11 ,
6/8/2024,862.70 ,
30/7/2024,817.83 ,
23/7/2024,844.25 ,
16/7/2024,877.92 ,
9/7/2024,837.78 ,
2/7/2024,770.15 ,
25/6/2024,792.51 ,
18/6/2024,842.38 ,
11/6/2024,859.51 ,
4/6/2024,887.77 ,
28/5/2024,882.47 ,
21/5/2024,913.06 ,
14/5/2024,880.27 ,
7/5/2024,909.73 ,
30/4/2024,978.62 ,
23/4/2024,1003.92 ,
16/4/2024,1081.77 ,
9/4/2024,1025.34 ,
2/4/2024,1102.19 ,
26/3/2024,1162.95 ,
19/3/2024,1112.80 ,
12/3/2024,1191.09 ,
5/3/2024,1148.39 ,
27/2/2024,1222.39 ,
20/2/2024,1111.69 ,
6/2/2024,1022.28 ,
30/1/2024,1022.33 ,
23/1/2024,1030.64 ,
16/1/2024,1022.15 ,
9/1/2024,1099.37 ,
2/1/2024,1196.82 ,
26/12/2023,1272.38 ,
19/12/2023,1281.12 ,
12/12/2023,1215.92 ,
5/12/2023,1238.04 ,
28/11/2023,1130.51 ,
21/11/2023,1079.84 ,
14/11/2023,1122.02 ,
7/11/2023,1105.56 ,
31/10/2023,1201.53 ,
24/10/2023,1228.56 ,
17/10/2023,1219.45 ,
10/10/2023,1254.24 ,
26/9/2023,1391.25 ,
19/9/2023,1421.43 ,
12/9/2023,1429.97 ,
5/9/2023,1438.72 ,
29/8/2023,1444.93 ,
