Date,62 Index,65 Index
2025-08-12,104,121.75
2025-08-11,102.9,121.06
2025-08-08,101.5,119.72
2025-08-07,101.5,119.8
2025-08-06,101.2,119.62
2025-08-05,101.65,118.88
2025-08-04,100.6,117.66
2025-08-01,99.3,116.72
2025-07-31,99.05,115.53
2025-07-30,100.95,117.26
2025-07-29,101.9,118.33
2025-07-28,100.1,115.81
2025-07-25,102.6,118.19
2025-07-24,104.5,119.85
2025-07-23,104,119.36
2025-07-22,104.85,120.4
2025-07-21,102.95,118.14
2025-07-18,100.2,115.3
2025-07-17,100.25,115.37
2025-07-16,99.1,114.37
2025-07-15,98.15,113.88
2025-07-14,98.6,114.3
2025-07-11,98.3,113.04
2025-07-10,98.55,113
2025-07-09,95.3,109.8
2025-07-08,95.2,108.29
2025-07-07,94.9,108.2
2025-07-04,95.7,108.4
2025-07-03,96.3,107.65
2025-07-02,95.1,106.03
2025-07-01,93.15,104.01
2025-06-30,94.15,105.02
2025-06-27,94.4,105.24
2025-06-26,93.3,103.84
2025-06-25,92.75,103.47
2025-06-24,92.95,103.65
2025-06-23,94.15,104.34
2025-06-20,93.8,104
2025-06-19,93.05,102.79
2025-06-18,92.75,102.26
2025-06-17,93.1,102.82
2025-06-16,94.25,104
2025-06-13,94.6,104.39
2025-06-12,94.95,104.54
2025-06-11,95.75,105.25
2025-06-10,94.95,104.34
2025-06-09,95.2,104.5
2025-06-06,96.1,105.26
2025-06-05,95.65,104.56
2025-06-04,96.35,105.2
2025-06-03,95.35,104.69
2025-06-02,96.3,105.85
2025-05-30,96.8,106.73
2025-05-29,97.2,107.23
2025-05-28,96.9,106.73
2025-05-27,96.45,107.11
2025-05-26,97.65,108.26
2025-05-23,98.95,109.52
2025-05-22,99.7,110.61
2025-05-21,100.15,111.01
2025-05-20,100.1,110.98
2025-05-19,100.35,110.85
2025-05-16,101.1,112.41
2025-05-15,102.2,113.68
2025-05-14,102.8,114.24
2025-05-13,101.25,111.92
2025-05-12,#N/A,#N/A
2025-05-09,98.6,109.72
2025-05-08,98,109.38
2025-05-07,99.95,111.01
2025-05-06,99.15,110.2
2025-05-05,98.15,109.39
2025-05-02,96.9,108.75
2025-05-01,#N/A,#N/A
2025-04-30,98.15,109.2
2025-04-29,99.3,111.4
2025-04-28,99.4,111.71
2025-04-25,99.2,111.52
2025-04-24,100.45,112.61
2025-04-23,101.1,113.48
2025-04-22,99.3,111.99
2025-04-21,100.1,112.97
2025-04-18,#N/A,#N/A
2025-04-17,99.9,111.61
2025-04-16,98.95,111.84
2025-04-15,99.95,112.32
2025-04-14,99.45,111.83
2025-04-11,98.35,110.73
2025-04-10,98.35,110.66
2025-04-09,95.75,108.35
2025-04-08,95.65,108.53
2025-04-07,98.85,111.69
2025-04-04,101.8,115.49
2025-04-03,102.95,115.85
2025-04-02,103.9,117.31
2025-04-01,104.1,117.51
2025-03-31,#N/A,#N/A
2025-03-28,103.85,117.19
2025-03-27,104.55,117.26
2025-03-26,103.3,116.08
2025-03-25,102.55,115.51
2025-03-24,103.15,116.19
2025-03-21,101.05,113.97
2025-03-20,101.75,114.7
2025-03-19,101.65,114.48
2025-03-18,103.5,116.28
2025-03-17,103.3,116.04
2025-03-14,105.05,118.15
2025-03-13,103.5,116.07
2025-03-12,101.85,114.48
2025-03-11,101.95,114.54
2025-03-10,101,113.89
2025-03-07,101.9,114.56
2025-03-06,101.3,114.38
2025-03-05,100.4,113.75
2025-03-04,101.95,114.51
2025-03-03,101.05,113.94
2025-02-28,103.9,116.91
2025-02-27,105.85,118.54
2025-02-26,106.85,119.4
2025-02-25,106.85,119.26
2025-02-24,109.1,121.84
2025-02-21,109.35,122.3
2025-02-20,109.5,122.1
2025-02-19,107.6,120.76
2025-02-18,107.6,120.78
2025-02-17,106.35,119.85
2025-02-14,106.8,120.48
2025-02-13,107.15,120.48
2025-02-12,108.6,121.7
2025-02-11,106.55,119.76
2025-02-10,107.7,121.12
2025-02-07,106.75,120.34
2025-02-06,106.5,119.98
2025-02-05,104.4,118.33
2025-02-04,105.45,119.62
