Date,Ukraine Concentrate fines,lump premium,IOCJ Import margin,rebar steel margin ,indian pellet premium,(IOCJ+SSF)/2-PBF
2/1/2019,690,0.3765,6.85,,,
3/1/2019,690,0.3765,1.74,,,
4/1/2019,690,0.3722,3.84,,,
7/1/2019,680,0.3715,2.94,,,
8/1/2019,680,0.3715,5,,,
9/1/2019,680,0.3715,10.12,,,
10/1/2019,680,0.3715,17.12,,,
11/1/2019,680,0.365,25.07,,,
14/1/2019,670,0.365,23.35,,,
15/1/2019,670,0.365,29.91,,,
16/1/2019,670,0.365,27.86,,,
17/1/2019,670,0.365,25.35,,,
18/1/2019,670,0.367,27.14,,,
21/1/2019,670,0.37,25.85,,,
22/1/2019,670,0.379,24.01,,,
23/1/2019,670,0.379,23.64,,,
24/1/2019,670,0.3713,25.88,,,
25/1/2019,670,0.3713,28.93,,,
28/1/2019,680,0.364,25.84,,,
29/1/2019,700,0.364,18.31,,,
30/1/2019,720,0.364,7.4,,,
31/1/2019,720,0.3609,8.01,,,
1/2/2019,720,0.3609,17.47,,,
2/2/2019,720,0.3609,,,,
3/2/2019,730,0.3609,,,,
4/2/2019,,0.3609,,,,
7/2/2019,,0.3609,,,,
8/2/2019,,0.3609,,,,
11/2/2019,745,0.359,34.92,,,
12/2/2019,775,0.359,39.12,,,
13/2/2019,765,0.3459,32.86,,,
14/2/2019,765,0.3394,14.58,,,
15/2/2019,765,0.3394,11.72,,,
18/2/2019,775,0.3394,10.84,,,
19/2/2019,775,0.3394,15.36,,,
20/2/2019,775,0.3333,17.56,,,
21/2/2019,775,0.3332,24.25,,,
22/2/2019,775,0.3332,16.23,,,
25/2/2019,775,0.3332,29.89,,,
26/2/2019,765,0.3332,30.77,,,
27/2/2019,760,0.3332,30.48,,,
28/2/2019,760,0.3332,25.89,,,
1/3/2019,760,0.36,25.74,,,
4/3/2019,770,0.3615,24.79,,,
5/3/2019,760,0.3615,14.34,,,
6/3/2019,760,0.3615,3.49,,,
7/3/2019,760,0.3615,8.65,,,
8/3/2019,760,0.3615,5.57,,,
11/3/2019,760,0.376,11.33,,,
12/3/2019,760,0.3763,11.6,,,
13/3/2019,760,0.3766,14.98,,,
14/3/2019,755,0.372,-4.41,,,
15/3/2019,755,0.372,-0.77,,,
18/3/2019,755,0.372,1.67,,,
19/3/2019,760,0.372,8.54,,,
20/3/2019,760,0.3676,7.14,,,
21/3/2019,750,0.364,13.91,,,
22/3/2019,745,0.363,-2.14,,,
25/3/2019,745,0.363,3.32,,,
26/3/2019,745,0.363,-1.34,,,
27/3/2019,745,0.3614,-0.08,,,
28/3/2019,735,0.358,0.67,,,
29/3/2019,735,0.347,0.45,,,
1/4/2019,735,0.3471,-5.57,,,
2/4/2019,730,0.337,-14.88,,,
3/4/2019,730,0.335,-13.99,,,
4/4/2019,730,0.328,-20.11,,,
5/4/2019,,0.328,,,,
8/4/2019,730,0.319,-18.73,,,
9/4/2019,730,0.319,-22.1,,,
10/4/2019,730,0.3183,-17.27,,,
11/4/2019,740,0.3183,-12.37,,,
12/4/2019,740,0.3183,-18.81,,,
15/4/2019,740,0.3183,-6.08,,,
16/4/2019,740,0.3142,-9.21,,,
17/4/2019,740,0.326,4.56,,,
18/4/2019,740,0.326,7.43,,,
19/4/2019,740,0.3185,4.88,,,
22/4/2019,740,0.3185,2.94,,,
23/4/2019,740,0.326,-3.64,,,
24/4/2019,740,0.328,-3.45,,,
25/4/2019,750,0.328,-2.68,,,
26/4/2019,750,0.328,-4.73,,,
28/4/2019,750,0.328,,,,
29/4/2019,750,0.335,-14.76,,,
30/4/2019,750,0.335,-15.24,,,
2/5/2019,,0.335,,,,
3/5/2019,,0.335,,,,
5/5/2019,750,0.335,,,,
6/5/2019,750,0.33,-16.34,,,
7/5/2019,750,0.33,-12.26,,,
8/5/2019,750,0.33,-14.95,,,
9/5/2019,750,0.33,-18.78,,,
10/5/2019,750,0.3285,-20.55,,,
13/5/2019,755,0.3285,-26.1,,,
14/5/2019,755,0.3285,-24.48,,,
15/5/2019,755,0.3285,-33.78,,,
16/5/2019,755,0.336,-38.05,,,
17/5/2019,755,0.33,-46.42,,,
20/5/2019,770,0.3318,-43.71,,,
21/5/2019,770,0.3318,-43.65,,,
22/5/2019,770,0.3318,-47.37,,,
23/5/2019,775,0.3285,-45.78,,,
24/5/2019,775,0.324,-43.44,,,
27/5/2019,775,0.324,-38.67,,,
28/5/2019,805,0.3315,-16.36,,,
29/5/2019,815,0.3315,-21.43,,,
30/5/2019,830,0.3315,-5.58,,,
31/5/2019,835,0.3315,10.46,,,
3/6/2019,835,0.3315,12.46,,,
4/6/2019,835,0.3315,16.5,,,
5/6/2019,835,0.3315,10.65,,,
6/6/2019,835,0.339,9.33,,,
7/6/2019,,0.339,,,,
10/6/2019,835,0.3385,0.93,,,
11/6/2019,845,0.3385,-13.88,,,
12/6/2019,845,0.339,-10.41,,,
13/6/2019,845,0.3405,-25.6,,,
14/6/2019,845,0.3415,-12.8,,,
17/6/2019,845,0.339,-11.12,,,
18/6/2019,850,0.3395,-37.31,,,
19/6/2019,865,0.339,-19.08,,,
20/6/2019,865,0.352,-12.26,,,
21/6/2019,865,0.3535,3.11,,,
24/6/2019,865,0.354,0.94,,,
25/6/2019,865,0.354,21.35,,,
26/6/2019,865,0.354,4.63,,,
27/6/2019,865,0.354,-2.42,,,
28/6/2019,870,0.372,-3.11,,,
1/7/2019,895,0.399,-19.54,,,
2/7/2019,915,0.399,-37.96,,,
3/7/2019,915,0.3995,-50.46,,,
4/7/2019,915,0.3995,-8.49,,,
5/7/2019,915,0.3995,8.03,,,
8/7/2019,895,0.3995,2.05,,,
9/7/2019,910,0.3995,-10.1,,,
10/7/2019,910,0.391,-5.83,,,
11/7/2019,905,0.3715,-1.25,,,
12/7/2019,895,0.3625,-5.24,,,
15/7/2019,890,0.354,-7.39,,,
16/7/2019,895,0.3025,8.32,,,
17/7/2019,900,0.2475,3.37,,,
18/7/2019,900,0.2475,7.91,,,
19/7/2019,900,0.2325,9.17,,,
22/7/2019,895,0.2325,9.87,,,
23/7/2019,885,0.2105,13.58,,,
24/7/2019,870,0.21,11.45,,,
25/7/2019,860,0.2085,8.19,,,
26/7/2019,850,0.2085,5.06,,,
29/7/2019,860,0.2085,16.07,,,
30/7/2019,870,0.204,12.94,,,
31/7/2019,875,0.1935,14.33,,,
1/8/2019,875,0.1935,29.2,,,
2/8/2019,875,0.1905,53.61,,,
5/8/2019,860,0.1845,76.25,,,
6/8/2019,810,0.1835,64.92,,,
7/8/2019,790,0.1825,72.31,,,
8/8/2019,760,0.175,49.69,,,
9/8/2019,760,0.164,60.61,,,
12/8/2019,725,0.1535,39.93,,,
13/8/2019,705,0.1405,73.77,,,
14/8/2019,735,0.14,76.91,,,
15/8/2019,735,0.14,86.86,,,
16/8/2019,735,0.14,70.5,,,
19/8/2019,740,0.146,81.34,,,
20/8/2019,740,0.146,78.47,,,
21/8/2019,735,0.1395,103.76,,,
22/8/2019,705,0.13,72.95,,,
23/8/2019,700,0.131,50.08,,,
26/8/2019,700,0.125,80.03,,,
27/8/2019,700,0.122,91.98,,,
28/8/2019,700,0.122,71.13,,,
29/8/2019,700,0.113,73.47,,,
30/8/2019,700,0.113,51.81,,,
2/9/2019,708,0.1145,17.73,,,
3/9/2019,728,0.11,18.87,,,
4/9/2019,733,0.1025,20.15,,,
5/9/2019,743,0.0975,39.77,,,
6/9/2019,748,0.106,46.64,,,
9/9/2019,743,0.0895,33.28,,,
10/9/2019,743,0.114,41.37,,,
11/9/2019,748,0.118,23.65,,,
12/9/2019,748,0.118,12.49,,,
13/9/2019,,0.118,,,,
16/9/2019,764,0.1205,30.07,,,
17/9/2019,781,0.1235,36.51,,,
18/9/2019,781,0.1245,44.07,,,
19/9/2019,773,0.1565,62.63,,,
20/9/2019,758,0.1535,60.23,,,
23/9/2019,761,0.168,52.19,,,
24/9/2019,756,0.168,69.5,,,
25/9/2019,771,0.168,64,,,
26/9/2019,781,0.168,57.34,,,
27/9/2019,791,0.1853,53.67,,,
29/9/2019,796,0.1853,,,,
30/9/2019,796,0.1853,40.25,,,
1/10/2019,,0.1853,,,,
2/10/2019,,0.1853,,,,
3/10/2019,,0.1853,,,,
4/10/2019,,0.1853,,,,
7/10/2019,,0.1853,,,,
8/10/2019,796,0.195,44.44,,,
9/10/2019,786,0.195,58.09,,,
10/10/2019,781,0.2115,37.21,,,
11/10/2019,781,0.2115,34.22,,,
12/10/2019,776,0.2115,,,,
14/10/2019,786,0.23,37.01,,,
15/10/2019,786,0.23,24.37,,,
16/10/2019,786,0.2125,41.53,,,
17/10/2019,781,0.21,38.49,,,
18/10/2019,786,0.21,21.2,,,
21/10/2019,786,0.21,24.79,,,
22/10/2019,781,0.21,17.3,,,
23/10/2019,786,0.2075,9.71,,,
24/10/2019,786,0.21,15.81,,,
25/10/2019,786,0.205,7.53,,,
28/10/2019,791,0.192,13.3,,,
29/10/2019,791,0.192,18.13,,,
30/10/2019,791,0.192,15.39,,,
31/10/2019,786,0.192,22.64,,,
1/11/2019,786,0.192,15.81,,,
4/11/2019,776,0.192,20.74,,,
5/11/2019,771,0.2088,22.78,,,
6/11/2019,768,0.201,22.11,,,
7/11/2019,765,0.213,10.82,,,
8/11/2019,765,0.2275,24.32,,,
11/11/2019,775,0.2275,21.89,,,
12/11/2019,765,0.2275,2.03,,,
13/11/2019,760,0.2275,4.3,,,
14/11/2019,755,0.2153,-18.74,,,
15/11/2019,750,0.2153,-12.05,,,
18/11/2019,750,0.2153,-7.41,,,
19/11/2019,750,0.214,-10.16,,,
20/11/2019,755,0.214,-7.1,,,
21/11/2019,760,0.2258,-13.56,,,
22/11/2019,753,0.2258,-7.05,,,
25/11/2019,753,0.2283,-7.12,,,
26/11/2019,761,0.2283,1.91,,,
27/11/2019,758,0.2333,1.18,,,
28/11/2019,755,0.2315,-3.66,,,
29/11/2019,758,0.2315,-3.65,,,
2/12/2019,753,0.2315,-3.36,,,
3/12/2019,758,0.2315,-0.85,,,
4/12/2019,763,0.2435,4.42,,,
5/12/2019,768,0.266,-0.91,,,
6/12/2019,768,0.258,-0.8,,,
9/12/2019,771,0.26,-21.4,,,
10/12/2019,771,0.2605,-11.37,,,
11/12/2019,778,0.2525,-14.53,,,
12/12/2019,778,0.254,-13.51,,,
13/12/2019,778,0.254,-6.39,,,
16/12/2019,778,0.254,-13.27,,,
17/12/2019,770,0.254,-12.75,,,
18/12/2019,765,0.254,-7.18,,,
19/12/2019,765,0.2475,-7.65,,,
20/12/2019,765,0.2435,5.92,,,
23/12/2019,765,0.2435,4.94,,,
24/12/2019,775,0.2435,5.46,,,
25/12/2019,775,0.2435,4.33,,,
26/12/2019,767,0.252,11.92,,,
27/12/2019,765,0.2475,-0.78,,,
30/12/2019,768,0.2375,0.2,,,
31/12/2019,768,0.2375,6.73,,,
2/1/2020,768,0.232,-1.57,,,
3/1/2020,765,0.2325,-2.6,,,
6/1/2020,765,0.2325,4.6,,,
7/1/2020,765,0.2325,4.18,,,
8/1/2020,767,0.248,12.7,,,
9/1/2020,762,0.248,27.42,,,
