entry_date,entry_price,trade_type,position_size,exit_date,exit_price,exit_reason,pnl,holding_days
2024-10-29,118.46,SHORT,1.0,2024-10-31,118.85,EOM,-0.39000000000000057,2
2024-10-30,118.64,SHORT,1.0,2024-10-31,118.85,EOM,-0.20999999999999375,1
2024-11-01,116.85,SHORT,1.0,2024-11-29,118.73,EOM,-1.8800000000000097,28
2024-11-04,118.64,SHORT,1.0,2024-11-29,118.73,EOM,-0.09000000000000341,25
2024-11-05,120.15,SHORT,1.0,2024-11-29,118.73,EOM,1.4200000000000017,24
2024-11-06,118.75,SHORT,1.0,2024-11-29,118.73,EOM,0.01999999999999602,23
2024-11-07,120.18,SHORT,1.0,2024-11-29,118.73,EOM,1.4500000000000028,22
2024-11-08,117.34,SHORT,1.0,2024-11-29,118.73,EOM,-1.3900000000000006,21
2024-11-11,115.43,SHORT,1.0,2024-11-29,118.73,EOM,-3.299999999999997,18
2024-11-12,115.28,SHORT,1.0,2024-11-29,118.73,EOM,-3.450000000000003,17
2024-11-13,115.0,SHORT,1.0,2024-11-29,118.73,EOM,-3.730000000000004,16
2024-11-14,112.74,SHORT,1.0,2024-11-29,118.73,EOM,-5.990000000000009,15
2024-11-15,111.23,SHORT,1.0,2024-11-29,118.73,EOM,-7.5,14
2024-12-02,118.45,SHORT,1.0,2024-12-31,115.24,EOM,3.210000000000008,29
2024-12-03,119.09,SHORT,1.0,2024-12-31,115.24,EOM,3.8500000000000085,28
2024-12-04,119.36,SHORT,1.0,2024-12-31,115.24,EOM,4.1200000000000045,27
2024-12-05,117.79,SHORT,1.0,2024-12-31,115.24,EOM,2.5500000000000114,26
2024-12-06,117.34,SHORT,1.0,2024-12-31,115.24,EOM,2.1000000000000085,25
2024-12-09,119.34,SHORT,1.0,2024-12-31,115.24,EOM,4.1000000000000085,22
2024-12-10,119.45,SHORT,1.0,2024-12-31,115.24,EOM,4.210000000000008,21
2024-12-11,118.66,SHORT,1.0,2024-12-31,115.24,EOM,3.4200000000000017,20
2024-12-12,120.16,SHORT,1.0,2024-12-31,115.24,EOM,4.920000000000002,19
2024-12-13,117.99,SHORT,1.0,2024-12-31,115.24,EOM,2.75,18
2024-12-16,119.25,SHORT,1.0,2024-12-31,115.24,EOM,4.010000000000005,15
2024-12-17,118.64,SHORT,1.0,2024-12-31,115.24,EOM,3.4000000000000057,14
2024-12-18,116.77,SHORT,1.0,2024-12-31,115.24,EOM,1.5300000000000011,13
2024-12-19,115.91,SHORT,1.0,2024-12-31,115.24,EOM,0.6700000000000017,12
2025-01-27,118.03,SHORT,1.0,2025-01-31,119.97,EOM,-1.9399999999999977,4
2025-03-06,113.65,LONG,1.0,2025-03-21,112.92,REVERSAL,-0.730000000000004,15
2025-03-07,113.74,LONG,1.0,2025-03-21,112.92,REVERSAL,-0.8199999999999932,14
2025-03-10,113.11,LONG,1.0,2025-03-21,112.92,REVERSAL,-0.18999999999999773,11
2025-03-11,113.97,LONG,1.0,2025-03-21,112.92,REVERSAL,-1.0499999999999972,10
2025-03-12,113.82,LONG,1.0,2025-03-21,112.92,REVERSAL,-0.8999999999999915,9
2025-03-13,115.35,LONG,1.0,2025-03-21,112.92,REVERSAL,-2.4299999999999926,8
2025-03-28,116.38,LONG,1.0,2025-03-31,114.97,EOM,-1.4099999999999966,3
2025-04-01,116.05,LONG,1.0,2025-04-30,110.0,EOM,-6.049999999999997,29
2025-04-02,116.0,LONG,1.0,2025-04-30,110.0,EOM,-6.0,28
2025-04-03,115.1,LONG,1.0,2025-04-30,110.0,EOM,-5.099999999999994,27
2025-04-04,113.9,LONG,1.0,2025-04-30,110.0,EOM,-3.9000000000000057,26
2025-04-07,110.8,LONG,1.0,2025-04-30,110.0,EOM,-0.7999999999999972,23
2025-04-08,108.02,LONG,1.0,2025-04-30,110.0,EOM,1.980000000000004,22
2025-04-09,107.9,LONG,1.0,2025-04-30,110.0,EOM,2.0999999999999943,21
2025-04-10,110.26,LONG,1.0,2025-04-30,110.0,EOM,-0.2600000000000051,20
2025-04-11,110.06,LONG,1.0,2025-04-30,110.0,EOM,-0.060000000000002274,19
2025-04-14,111.0,LONG,1.0,2025-04-30,110.0,EOM,-1.0,16
2025-04-15,111.49,LONG,1.0,2025-04-30,110.0,EOM,-1.4899999999999949,15
2025-04-16,111.02,LONG,1.0,2025-04-30,110.0,EOM,-1.019999999999996,14
2025-04-17,110.58,LONG,1.0,2025-04-30,110.0,EOM,-0.5799999999999983,13
2025-04-18,110.26,LONG,1.0,2025-04-30,110.0,EOM,-0.2600000000000051,12
2025-04-21,112.03,LONG,1.0,2025-04-30,110.0,EOM,-2.030000000000001,9
2025-04-22,111.22,LONG,1.0,2025-04-30,110.0,EOM,-1.2199999999999989,8
2025-04-23,112.82,LONG,1.0,2025-04-30,110.0,EOM,-2.819999999999993,7
2025-04-24,112.05,LONG,1.0,2025-04-30,110.0,EOM,-2.049999999999997,6
